iter	Passed	Remaining
0	0	66
1	1	60
2	1	58
3	2	54
4	2	54
5	3	54
6	4	53
7	4	53
8	5	53
9	5	53
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	25	30
46	26	29
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
